schema,function_name,function_definition
public,log_account_activity,"CREATE OR REPLACE FUNCTION public.log_account_activity()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    IF TG_OP = 'INSERT' THEN
        INSERT INTO account_activities(account_id, user_id, activity_type, description, new_value)
        VALUES (NEW.id, auth.uid(), 'created', 'Account created', to_jsonb(NEW));
    ELSIF TG_OP = 'UPDATE' THEN
        INSERT INTO account_activities(account_id, user_id, activity_type, description, old_value, new_value)
        VALUES (NEW.id, auth.uid(), 'updated', 'Account updated', to_jsonb(OLD), to_jsonb(NEW));
    END IF;
    RETURN NEW;
END;
$function$
"
public,log_conversion_status_change,"CREATE OR REPLACE FUNCTION public.log_conversion_status_change()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
  BEGIN
      -- Only log if conversion_status actually changed
      IF (OLD.conversion_status IS DISTINCT FROM NEW.conversion_status) THEN
          INSERT INTO flatrix_conversion_history (
              deal_id,
              lead_id,
              previous_status,
              new_status,
              changed_at,
              conversion_date,
              notes
          ) VALUES (
              NEW.id,
              NEW.lead_id,
              OLD.conversion_status,
              NEW.conversion_status,
              NOW(),
              NEW.conversion_date,
              CASE
                  WHEN NEW.conversion_status = 'BOOKED' THEN 'Customer booked the flat'
                  WHEN NEW.conversion_status = 'NOT_BOOKED' THEN 'Customer decided not to book'
                  WHEN NEW.conversion_status = 'CANCELLED' THEN 'Booking was cancelled'
                  WHEN NEW.conversion_status = 'PENDING' THEN 'Status reset to pending'
                  ELSE 'Status changed'
              END
          );
      END IF;

      RETURN NEW;
  END;
  $function$
"
public,process_stock_entry_approval,"CREATE OR REPLACE FUNCTION public.process_stock_entry_approval()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_item RECORD;
    v_quantity_change INTEGER;
    v_quantity_before INTEGER;
    v_quantity_after INTEGER;
BEGIN
    -- Only process when status changes to 'approved' or 'completed'
    IF NEW.status IN ('approved', 'completed') AND OLD.status NOT IN ('approved', 'completed') THEN

        -- Loop through all items in this stock entry
        FOR v_item IN
            SELECT * FROM stock_entry_items WHERE stock_entry_id = NEW.id
        LOOP
            -- Get current stock quantity
            SELECT stock_quantity INTO v_quantity_before
            FROM products
            WHERE id = v_item.product_id;

            -- Calculate quantity change based on entry type
            IF NEW.entry_type = 'inward' THEN
                v_quantity_change := v_item.quantity;
            ELSIF NEW.entry_type = 'outward' THEN
                v_quantity_change := -v_item.quantity;
            ELSE
                v_quantity_change := 0;
            END IF;

            -- Update product stock AND bin_location (for inward entries)
            IF NEW.entry_type = 'inward' AND v_item.bin_location IS NOT NULL THEN
                UPDATE products
                SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                    bin_location = v_item.bin_location,
                    updated_at = NOW()
                WHERE id = v_item.product_id
                RETURNING stock_quantity INTO v_quantity_after;
            ELSE
                UPDATE products
                SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                    updated_at = NOW()
                WHERE id = v_item.product_id
                RETURNING stock_quantity INTO v_quantity_after;
            END IF;

            -- Create transaction record
            INSERT INTO stock_transactions (
                company_id,
                product_id,
                stock_entry_id,
                stock_entry_item_id,
                transaction_type,
                transaction_date,
                quantity_change,
                quantity_before,
                quantity_after,
                unit_cost,
                value_change,
                reference_type,
                reference_number,
                performed_by,
                remarks
            ) VALUES (
                NEW.company_id,
                v_item.product_id,
                NEW.id,
                v_item.id,
                NEW.entry_type,
                NEW.entry_date,
                v_quantity_change,
                COALESCE(v_quantity_before, 0),
                COALESCE(v_quantity_after, 0),
                v_item.unit_price,
                v_item.total_price * (CASE WHEN NEW.entry_type = 'inward' THEN 1 ELSE -1 END),
                NEW.reference_type,
                NEW.reference_number,
                NEW.approved_by,
                NEW.remarks
            );

        END LOOP;

    END IF;

    RETURN NEW;
END;
$function$
"
public,reverse_product_stock,"CREATE OR REPLACE FUNCTION public.reverse_product_stock()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_quantity_change INTEGER;
    v_stock_entry RECORD;
BEGIN
    -- Get stock entry details
    SELECT * INTO v_stock_entry FROM stock_entries WHERE id = OLD.stock_entry_id;

    -- Only reverse if stock entry was approved/completed
    IF v_stock_entry.status NOT IN ('approved', 'completed') THEN
        RETURN OLD;
    END IF;

    -- Calculate reverse quantity change
    IF v_stock_entry.entry_type = 'inward' THEN
        v_quantity_change := -OLD.quantity;
    ELSIF v_stock_entry.entry_type = 'outward' THEN
        v_quantity_change := OLD.quantity;
    END IF;

    -- Update product stock
    UPDATE products
    SET stock_quantity = stock_quantity + v_quantity_change
    WHERE id = OLD.product_id;

    RETURN OLD;
END;
$function$
"
public,reverse_stock_entry,"CREATE OR REPLACE FUNCTION public.reverse_stock_entry()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_item RECORD;
    v_quantity_change INTEGER;
BEGIN
    -- Only reverse if entry was approved/completed
    IF OLD.status IN ('approved', 'completed') THEN

        -- Loop through all items and reverse the stock changes
        FOR v_item IN
            SELECT * FROM stock_entry_items WHERE stock_entry_id = OLD.id
        LOOP
            -- Calculate reverse quantity change
            IF OLD.entry_type = 'inward' THEN
                v_quantity_change := -v_item.quantity;
            ELSIF OLD.entry_type = 'outward' THEN
                v_quantity_change := v_item.quantity;
            ELSE
                v_quantity_change := 0;
            END IF;

            -- Update product stock (reverse the change)
            UPDATE products
            SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                updated_at = NOW()
            WHERE id = v_item.product_id;

        END LOOP;

    END IF;

    RETURN OLD;
END;
$function$
"
public,seed_account_field_configurations,"CREATE OR REPLACE FUNCTION public.seed_account_field_configurations(target_company_id uuid)
 RETURNS void
 LANGUAGE plpgsql
AS $function$
BEGIN
    -- Delete existing configurations for this company (if reseeding)
    DELETE FROM account_field_configurations WHERE company_id = target_company_id;

    -- ==========================================
    -- MANDATORY FIELDS (9 fields - always enabled)
    -- ==========================================

    -- 1. Account ID (auto-generated)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES (
        target_company_id, 'account_id', 'Account ID', 'text', true, true,
        'basic_info', 1, 'Auto-generated', 'Unique system identifier'
    );

    -- 2. Account Name
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'account_name', 'Account Name', 'text', true, true,
        'basic_info', 2, 'Enter company name'
    );

    -- 3. Headquarters Address
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'headquarters_address', 'Headquarters Address', 'textarea', true, true,
        'addresses', 3, 'Enter HQ address'
    );

    -- 4. Main Phone
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'main_phone', 'Main Phone', 'tel', true, true,
        'contact', 4, '+91 9876543210'
    );

    -- 5. Customer Segment
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'customer_segment', 'Customer Segment', 'select', true, true,
        'basic_info', 5,
        '[""Government"", ""Academic"", ""Healthcare_Public"", ""Healthcare_Private"", ""Pharma"", ""Biotech"", ""Manufacturing"", ""Research_Private""]'::jsonb,
        'Primary customer segment'
    );

    -- 6. Account Type
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'account_type', 'Account Type', 'select', true, true,
        'basic_info', 6,
        '[""Govt Industry"", ""Govt Institution"", ""Private Industry"", ""Private Institution""]'::jsonb,
        'Primary business role'
    );

    -- 7. Account Industry (cascading dropdown)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'acct_industry', 'Account Industry', 'select', true, true,
        'basic_info', 7,
        '[""Research"", ""Pharma Biopharma"", ""Chemicals Petrochemicals"", ""Healthcare Diagnostics"", ""Instrument Manufacturing"", ""Environmental Testing"", ""Education"", ""Forensics"", ""Testing Labs""]'::jsonb,
        'Primary industry'
    );

    -- 8. Account Sub-Industry (dependent on industry)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, help_text
    ) VALUES (
        target_company_id, 'acct_sub_industry', 'Account Sub-Industry', 'select_dependent', true, true,
        'basic_info', 8,
        'Specific sub-category'
    );

    -- 9. Account Status
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'account_status', 'Account Status', 'select', true, true,
        'basic_info', 9,
        '[""Active"", ""Inactive"", ""Prospect"", ""Customer"", ""Suspended""]'::jsonb,
        'Current status'
    );

    -- ==========================================
    -- OPTIONAL FIELDS (can be toggled by admin)
    -- ==========================================

    -- BASIC INFO SECTION (Additional)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES
    (target_company_id, 'preferred_language', 'Preferred Language', 'select', false, true, 'basic_info', 10,
        'Select language'),
    (target_company_id, 'description', 'Description', 'textarea', false, true, 'basic_info', 11,
        'Account description or notes');

    -- Update field options for preferred_language
    UPDATE account_field_configurations
    SET field_options = '[""English"", ""Hindi"", ""Kannada"", ""Tamil"", ""Telugu"", ""Marathi""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'preferred_language';

    -- ADDRESSES SECTION
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES
    (target_company_id, 'shipping_address', 'Shipping Address', 'textarea', false, true, 'addresses', 20,
        'Complete shipping address', 'Shipping address'),
    (target_company_id, 'shipping_street', 'Shipping Street', 'text', false, true, 'addresses', 21,
        'Street line 1', 'Street address line 1'),
    (target_company_id, 'shipping_street2', 'Shipping Street 2', 'text', false, true, 'addresses', 22,
        'Street line 2', 'Street address line 2'),
    (target_company_id, 'shipping_city', 'Shipping City', 'text', false, true, 'addresses', 23,
        'City', 'Shipping city'),
    (target_company_id, 'shipping_state', 'Shipping State', 'text', false, true, 'addresses', 24,
        'State/Province', 'Shipping state'),
    (target_company_id, 'shipping_country', 'Shipping Country', 'select', false, true, 'addresses', 25,
        'Select country', 'Shipping country'),
    (target_company_id, 'shipping_postal_code', 'Shipping Postal Code', 'text', false, true, 'addresses', 26,
        'Postal/Zip code', 'Postal code'),

    (target_company_id, 'billing_address', 'Billing Address', 'textarea', false, true, 'addresses', 30,
        'Complete billing address', 'Billing address'),
    (target_company_id, 'billing_street', 'Billing Street', 'text', false, true, 'addresses', 31,
        'Street line 1', 'Billing street'),
    (target_company_id, 'billing_street2', 'Billing Street 2', 'text', false, true, 'addresses', 32,
        'Street line 2', 'Billing street line 2'),
    (target_company_id, 'billing_city', 'Billing City', 'text', false, true, 'addresses', 33,
        'City', 'Billing city'),
    (target_company_id, 'billing_state', 'Billing State', 'text', false, true, 'addresses', 34,
        'State/Province', 'Billing state'),
    (target_company_id, 'billing_country', 'Billing Country', 'select', false, true, 'addresses', 35,
        'Select country', 'Billing country'),
    (target_company_id, 'billing_postal_code', 'Billing Postal Code', 'text', false, true, 'addresses', 36,
        'Postal/Zip code', 'Billing postal code');

    -- Update country options
    UPDATE account_field_configurations
    SET field_options = '[""India"", ""USA"", ""UK"", ""Singapore"", ""UAE"", ""Germany"", ""Australia""]'::jsonb
    WHERE company_id = target_company_id AND field_name IN ('shipping_country', 'billing_country');

    -- CONTACT SECTION
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES
    (target_company_id, 'primary_email', 'Primary Email', 'email', false, true, 'contact', 40,
        'contact@company.com', 'Primary email'),
    (target_company_id, 'preferred_contact_method', 'Preferred Contact Method', 'select', false, true, 'contact', 41,
        'How to contact', 'Preferred contact method'),
    (target_company_id, 'email_opt_in', 'Email Opt-In', 'select', false, true, 'contact', 42,
        'Email opt-in status', 'Email marketing opt-in'),
    (target_company_id, 'alternate_phone', 'Alternate Phone', 'tel', false, true, 'contact', 43,
        'Alternate phone', 'Secondary phone'),
    (target_company_id, 'website', 'Website', 'url', false, true, 'contact', 44,
        'https://company.com', 'Website URL');

    -- Update options for contact fields
    UPDATE account_field_configurations
    SET field_options = '[""Email"", ""Phone"", ""WhatsApp"", ""In-Person""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'preferred_contact_method';

    UPDATE account_field_configurations
    SET field_options = '[""Opted In"", ""Opted Out"", ""Not Set""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'email_opt_in';

    -- BUSINESS DETAILS SECTION
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES
    (target_company_id, 'territory', 'Territory', 'select', false, true, 'business_details', 50,
        'Sales territory', 'Sales region'),
    (target_company_id, 'communication_frequency', 'Communication Frequency', 'select', false, true, 'business_details', 51,
        'Frequency', 'Communication frequency'),
    (target_company_id, 'communication_channel', 'Communication Channel', 'select', false, true, 'business_details', 52,
        'Channel', 'Communication channel'),
    (target_company_id, 'organization_size', 'Organization Size', 'select', false, true, 'business_details', 53,
        'Employee count', 'Organization size'),
    (target_company_id, 'vendor_qualification', 'Vendor Qualification', 'select', false, true, 'business_details', 54,
        'Qualification status', 'Vendor qualification');

    -- Update options for business fields
    UPDATE account_field_configurations
    SET field_options = '[""North"", ""South"", ""East"", ""West"", ""Central"", ""International""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'territory';

    UPDATE account_field_configurations
    SET field_options = '[""Weekly"", ""Bi-weekly"", ""Monthly"", ""Quarterly"", ""As Needed""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'communication_frequency';

    UPDATE account_field_configurations
    SET field_options = '[""Email"", ""Phone"", ""SMS"", ""WhatsApp"", ""In-Person"", ""Video Call""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'communication_channel';

    UPDATE account_field_configurations
    SET field_options = '[""1-50"", ""51-200"", ""201-500"", ""501-1000"", ""1000+""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'organization_size';

    UPDATE account_field_configurations
    SET field_options = '[""Qualified"", ""Not Qualified"", ""In Progress"", ""Not Required""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'vendor_qualification';

    -- FINANCIAL SECTION
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES
    (target_company_id, 'tax_id_number', 'Tax ID Number', 'text', false, true, 'financial', 60,
        'Tax ID', 'Tax identification number'),
    (target_company_id, 'gstin', 'GSTIN', 'text', false, true, 'financial', 61,
        'GST Number', 'GST identification'),
    (target_company_id, 'pan_number', 'PAN Number', 'text', false, true, 'financial', 62,
        'PAN', 'Permanent Account Number'),
    (target_company_id, 'cin', 'CIN', 'text', false, true, 'financial', 63,
        'Corporate ID', 'Corporate Identification Number'),
    (target_company_id, 'udyam_registration', 'Udyam Registration', 'text', false, true, 'financial', 64,
        'Udyam Number', 'MSME registration'),
    (target_company_id, 'gem_seller_id', 'GeM Seller ID', 'text', false, true, 'financial', 65,
        'GeM ID', 'Government e-Marketplace ID'),
    (target_company_id, 'tax_classification', 'Tax Classification', 'select', false, true, 'financial', 66,
        'Tax status', 'Tax classification'),
    (target_company_id, 'preferred_currency', 'Preferred Currency', 'select', false, true, 'financial', 67,
        'Currency', 'Preferred currency'),
    (target_company_id, 'revenue_currency', 'Revenue Currency', 'select', false, true, 'financial', 68,
        'Currency', 'Revenue currency'),
    (target_company_id, 'annual_revenue', 'Annual Revenue', 'number', false, true, 'financial', 69,
        '0', 'Annual revenue'),
    (target_company_id, 'acc_budget_capacity', 'Budget Capacity', 'number', false, true, 'financial', 70,
        '0', 'Budget capacity'),
    (target_company_id, 'payment_terms', 'Payment Terms', 'select', false, true, 'financial', 71,
        'Terms', 'Payment terms'),
    (target_company_id, 'credit_limit', 'Credit Limit', 'number', false, true, 'financial', 72,
        '0', 'Credit limit'),
    (target_company_id, 'credit_status', 'Credit Status', 'select', false, true, 'financial', 73,
        'Status', 'Credit status');

    -- Update options for financial fields
    UPDATE account_field_configurations
    SET field_options = '[""Taxable"", ""Tax Exempt"", ""GST Registered"", ""Composition Scheme""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'tax_classification';

    UPDATE account_field_configurations
    SET field_options = '[""INR"", ""USD"", ""EUR"", ""GBP"", ""SGD"", ""AED""]'::jsonb
    WHERE company_id = target_company_id AND field_name IN ('preferred_currency', 'revenue_currency');

    UPDATE account_field_configurations
    SET field_options = '[""Net 30"", ""Net 45"", ""Net 60"", ""Advance"", ""COD"", ""Custom""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'payment_terms';

    UPDATE account_field_configurations
    SET field_options = '[""Good"", ""Under Review"", ""Suspended"", ""Blocked""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'credit_status';

    -- ADVANCED SECTION
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES
    (target_company_id, 'academic_affiliation', 'Academic Affiliation', 'text', false, true, 'advanced', 80,
        'Academic institution', 'Academic affiliation'),
    (target_company_id, 'grant_funding_source', 'Grant Funding Source', 'text', false, true, 'advanced', 81,
        'Funding sources', 'Grant funding'),
    (target_company_id, 'regulatory_authority', 'Regulatory Authority', 'text', false, true, 'advanced', 82,
        'Regulatory body', 'Regulatory authority'),
    (target_company_id, 'procurement_cycle', 'Procurement Cycle', 'select', false, true, 'advanced', 83,
        'Cycle', 'Procurement cycle');

    -- Update options for advanced fields
    UPDATE account_field_configurations
    SET field_options = '[""Monthly"", ""Quarterly"", ""Bi-Annually"", ""Annually"", ""As Needed""]'::jsonb
    WHERE company_id = target_company_id AND field_name = 'procurement_cycle';

END;
$function$
"
public,update_account_modified_fields,"CREATE OR REPLACE FUNCTION public.update_account_modified_fields()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.last_modified_date := NOW();
    NEW.last_modified_by_id := auth.uid();
    RETURN NEW;
END;
$function$
"
public,update_activities_updated_at,"CREATE OR REPLACE FUNCTION public.update_activities_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = TIMEZONE('utc'::text, NOW());
    RETURN NEW;
END;
$function$
"
public,update_amc_contracts_updated_at,"CREATE OR REPLACE FUNCTION public.update_amc_contracts_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_cases_updated_at,"CREATE OR REPLACE FUNCTION public.update_cases_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_company_user_count,"CREATE OR REPLACE FUNCTION public.update_company_user_count()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
  BEGIN
      IF TG_OP = 'INSERT' THEN
          UPDATE companies
          SET current_users = current_users + 1
          WHERE id = NEW.company_id;
          RETURN NEW;
      ELSIF TG_OP = 'DELETE' THEN
          UPDATE companies
          SET current_users = current_users - 1
          WHERE id = OLD.company_id;
          RETURN OLD;
      END IF;
      RETURN NULL;
  END;
  $function$
"
public,update_complaints_updated_at,"CREATE OR REPLACE FUNCTION public.update_complaints_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
  NEW.updated_at = CURRENT_TIMESTAMP;
  RETURN NEW;
END;
$function$
"
